year,month,salary_min_aud,salary_max_aud,salary_median_aud,number_of_openings,demand_index,remote_availability,salary_range_aud,salary_variability,salary_bracket,salary_log_median,quarter,month_name,is_high_demand,openings_level,experience_numeric,remote_flag,metro_city,cost_region,city_salary_adjusted_index,job_market_pressure,competitiveness_score,seasonal_hiring_score,job_title_encoded,industry_encoded,city_encoded,region_encoded,education_requirement_encoded,job_type_encoded,skills_required_encoded,hiring_trend_encoded,season_encoded
2025,11,76839,106915,91877,28,64,No,30076,0.3273506971241187,Medium,11.428216889043265,4,Nov,1,High,1,0,1,High,114846.25,0.4307692307692308,42.53846153846154,4,4,8,12,1,3,2,9,2,1
2025,9,69665,153123,111394,23,72,Yes,83458,0.7492144998765714,Medium,11.620837722164625,3,Sep,1,High,2,1,0,Low,100254.6,0.3150684931506849,60.56986301369862,4,4,8,14,1,0,0,9,2,1
2025,4,58613,120251,89432,36,74,Yes,61638,0.689216387862407,Medium,11.401245020567584,2,Apr,1,High,2,1,0,Low,80488.8,0.48,61.44,2,14,2,14,1,0,1,5,2,0
2025,9,62491,82465,72478,29,86,Yes,19974,0.2755870746947269,Medium,11.19105214371219,3,Sep,1,High,2,1,0,Low,65230.2,0.3333333333333333,68.93333333333332,4,9,7,13,3,2,2,7,2,1
2025,12,53036,89968,71502,27,65,No,36932,0.5165170204956993,Medium,11.177494685843843,4,Dec,1,High,1,0,0,Low,64351.8,0.4090909090909091,43.18181818181818,1,14,2,7,5,0,1,5,2,2
2025,8,66465,107277,86871,21,65,No,40812,0.4698000483421418,Medium,11.372191049896736,3,Aug,1,High,2,0,1,Low,78183.90000000001,0.3181818181818182,48.36363636363637,3,6,6,0,4,0,1,6,2,3
2025,5,57237,82739,69988,18,63,Yes,25502,0.3643767502948452,Low,11.15609336582612,2,May,1,Medium,2,1,1,Medium,76986.8,0.28125,55.2375,2,0,5,10,7,3,0,4,2,0
2025,6,74644,126294,100469,47,69,No,51650,0.5140889229462413,Medium,11.51761445445636,2,Jun,1,High,1,0,1,Medium,110515.9,0.6714285714285714,45.05714285714286,3,5,8,3,0,0,2,0,2,3
2025,5,64271,83719,73995,17,54,No,19448,0.2628285694943871,Medium,11.21176631667128,2,May,0,Medium,2,0,1,High,92493.75,0.3090909090909091,41.78181818181818,2,3,11,12,1,0,2,3,1,0
2025,2,59202,129104,94153,33,72,No,69902,0.7424298747704011,Medium,11.452687018578464,1,Feb,1,High,2,0,1,Low,84737.7,0.4520547945205479,52.2958904109589,1,14,2,0,4,0,2,5,2,2
2025,10,52063,66451,59257,28,59,No,14388,0.2428067570035134,Low,10.989656070979896,4,Oct,0,High,1,0,0,Low,53331.3,0.4666666666666667,39.46666666666667,4,2,1,2,3,1,0,1,1,1
2025,10,43396,81328,62362,32,65,No,37932,0.6082550270900828,Low,11.040727429775956,4,Oct,1,High,1,0,0,Low,56125.8,0.4848484848484848,43.03030303030303,4,9,7,13,3,0,1,7,2,1
2025,7,70394,119968,95181,29,95,No,49574,0.5208392431207821,Medium,11.463546127272156,3,Jul,1,High,2,0,0,Low,85662.90000000001,0.3020833333333333,66.39583333333333,3,8,4,6,3,3,2,2,2,3
2025,4,41790,95956,68873,32,77,No,54166,0.7864620388136649,Low,11.14003402729355,2,Apr,1,High,1,0,1,Low,61985.7,0.4102564102564102,50.37948717948718,2,7,9,0,4,0,2,11,2,0
2025,11,59006,82924,70965,17,73,No,23918,0.3370393856078766,Medium,11.169956168087609,4,Nov,1,Medium,1,0,1,High,88706.25,0.2297297297297297,48.34054054054054,4,7,9,8,6,3,2,11,2,1
2025,11,53098,96744,74921,20,80,No,43646,0.5825602968382355,Medium,11.2242028513432,4,Nov,1,Medium,2,0,0,Low,67428.90000000001,0.2469135802469135,57.50617283950617,4,0,5,9,1,0,2,4,2,1
2025,4,44047,73845,58946,16,68,Yes,29798,0.5055135208410153,Low,10.984394014085304,2,Apr,1,Medium,1,1,0,Low,53051.4,0.2318840579710145,53.336231884057966,2,0,5,6,3,2,0,4,2,0
2025,5,69344,109582,89463,18,76,No,40238,0.4497725316561062,Medium,11.401591588708024,2,May,1,Medium,2,0,0,Low,80516.7,0.2337662337662337,55.13246753246754,2,2,1,5,6,0,2,1,2,0
2025,9,35000,64159,49349,44,95,No,29159,0.5908731686439265,Low,10.806693044861628,3,Sep,1,High,1,0,0,Low,44414.1,0.4583333333333333,61.083333333333336,4,9,7,5,6,0,0,7,2,1
2025,1,37964,80038,59001,16,41,No,42074,0.713106557503888,Low,10.985326620618409,1,Jan,0,Medium,1,0,0,Low,53100.9,0.3809523809523809,28.838095238095235,1,9,7,2,3,1,1,7,1,2
2025,6,37719,77447,57583,34,67,No,39728,0.6899258461578951,Low,10.96100003031881,2,Jun,1,High,1,0,1,Low,51824.7,0.5,44.2,3,13,3,0,4,0,1,14,2,3
2025,4,61301,121753,91527,28,81,No,60452,0.6604826990870402,Medium,11.42440021538078,2,Apr,1,High,2,0,0,Low,82374.3,0.3414634146341463,57.91707317073171,2,2,1,14,1,0,2,1,2,0
2025,7,80416,108422,94419,21,82,Yes,28006,0.2966140289528949,Medium,11.455508194100275,3,Jul,1,High,2,1,0,Low,84977.1,0.253012048192771,66.69397590361444,3,2,1,11,3,3,2,1,2,3
2025,4,71842,120050,95946,14,58,Yes,48208,0.502449294389527,Medium,11.471551234662522,2,Apr,0,Medium,2,1,0,Low,86351.40000000001,0.2372881355932203,52.325423728813554,2,1,0,9,1,3,2,12,1,0
2025,3,63146,94258,78702,37,51,No,31112,0.3953139691444269,Medium,11.27343655311988,1,Mar,0,High,1,0,0,Low,70831.8,0.7115384615384616,34.176923076923075,2,14,2,6,3,3,1,5,1,0
2025,7,41998,79390,60694,57,85,No,37392,0.6160740765048263,Low,11.013616601331904,3,Jul,1,High,1,0,0,Low,54624.6,0.6627906976744186,54.674418604651166,3,6,6,6,3,0,2,6,2,3
2025,5,52025,71575,61800,10,55,No,19550,0.3163430420660786,Low,11.03167482454464,2,May,0,Medium,1,0,0,Low,55620.0,0.1785714285714285,37.642857142857146,2,14,2,2,3,0,1,5,1,0
2025,6,49088,107018,78053,19,55,No,57930,0.7421880004517164,Medium,11.265156173829611,2,Jun,0,Medium,1,0,1,Low,70247.7,0.3392857142857143,37.32142857142857,3,4,8,0,4,1,0,9,1,3
2025,12,41408,85168,63288,34,58,No,43760,0.6914422955269334,Low,11.05546681736012,4,Dec,0,High,1,0,0,Low,56959.2,0.576271186440678,38.64745762711864,1,8,4,9,1,3,1,2,1,2
2025,5,74431,101431,87931,51,74,Yes,27000,0.3070589439411919,Medium,11.384319067480009,2,May,1,High,1,1,0,Low,79137.90000000001,0.68,56.04,2,5,8,5,6,0,2,0,2,0
2025,10,61330,114112,87721,20,63,Yes,52782,0.6017031269524777,Medium,11.381928002089513,4,Oct,1,Medium,2,1,1,Medium,96493.1,0.3125,55.175,4,9,7,1,3,0,0,7,2,1
2025,3,39326,85734,62530,11,52,Yes,46408,0.7421717575445039,Low,11.043417712757153,1,Mar,0,Medium,1,1,0,Low,56277.0,0.2075471698113207,43.78490566037736,2,14,2,4,2,1,2,5,1,0
2025,1,75575,135157,105366,8,75,Yes,59582,0.5654765294253794,Medium,11.565204773086432,1,Jan,1,Medium,2,1,0,Low,94829.4,0.1052631578947368,62.78947368421053,1,4,8,11,3,0,0,9,2,2
2025,3,37490,81580,59535,21,88,No,44090,0.7405727723063648,Low,10.994336450586404,1,Mar,1,High,1,0,0,Low,53581.5,0.2359550561797752,57.328089887640445,2,0,5,5,6,1,0,4,2,0
2025,9,35000,69995,51850,24,70,No,34995,0.6749276759754113,Low,10.85612949987478,3,Sep,1,High,1,0,1,Low,46665.0,0.3380281690140845,46.32394366197183,4,0,5,0,4,0,2,4,2,1
2025,10,44764,85800,65282,26,77,No,41036,0.6285959376148311,Low,11.086486944464404,4,Oct,1,High,1,0,1,Medium,71810.20000000001,0.3333333333333333,50.53333333333333,4,13,3,10,7,1,2,14,2,1
2025,12,77180,140596,108888,10,83,Yes,63416,0.582396590987231,Medium,11.598084293718175,4,Dec,1,Medium,2,1,1,Medium,119776.8,0.119047619047619,67.56190476190476,1,1,0,10,7,3,2,12,2,2
2025,6,74281,115487,94884,26,75,No,41206,0.4342776442768615,Medium,11.46042091098808,2,Jun,1,High,1,0,0,Low,85395.6,0.3421052631578947,49.31578947368421,3,10,8,11,3,0,2,10,2,3
2025,9,35197,56487,45842,34,79,Yes,21290,0.4644212730582343,Low,10.732977794273369,3,Sep,1,High,1,1,0,Low,41257.8,0.425,59.55,4,9,7,14,1,0,1,7,2,1
2025,1,86701,162617,124659,3,42,Yes,75916,0.6089893228679117,Medium,11.73334531036284,1,Jan,0,Low,2,1,0,Low,112193.1,0.0697674418604651,43.06046511627908,1,4,8,13,3,0,2,9,1,2
2025,1,59969,80777,70373,64,88,Yes,20808,0.2956815824208762,Medium,11.16157915574956,1,Jan,1,High,1,1,1,High,87966.25,0.7191011235955056,64.36179775280898,1,9,7,8,6,3,1,7,2,2
2025,6,44436,96616,70526,50,94,Yes,52180,0.7398689844774996,Medium,11.163750894206132,2,Jun,1,High,1,1,0,Low,63473.4,0.5263157894736842,68.34736842105264,3,4,8,9,1,3,1,9,2,3
2025,5,48983,110457,79720,40,61,No,61474,0.7711239337585158,Medium,11.28628831815172,2,May,1,High,2,0,0,Low,71748.0,0.6451612903225806,45.30967741935484,2,7,9,6,3,0,1,11,2,0
2025,9,68878,101654,85266,24,88,Yes,32776,0.3843970633032581,Medium,11.353542788755272,3,Sep,1,High,2,1,0,Low,76739.40000000001,0.2696629213483146,70.26067415730337,4,0,5,13,3,2,2,4,2,1
2025,7,69600,92860,81230,45,64,Yes,23260,0.2863474085893593,Medium,11.305052226691862,3,Jul,1,High,1,1,1,High,101537.5,0.6923076923076923,50.01538461538461,3,9,7,8,6,0,1,7,2,3
2025,11,43026,84480,63753,14,61,Yes,41454,0.6502282245439395,Low,11.06278720615032,4,Nov,1,Medium,1,1,1,Medium,70128.3,0.2258064516129032,49.148387096774194,4,13,3,3,0,0,0,14,2,1
2025,7,88190,119278,103734,28,52,No,31088,0.2996895906809755,Medium,11.54959484932724,3,Jul,0,High,1,0,0,Low,93360.6,0.5283018867924528,35.1433962264151,3,10,8,2,3,0,2,10,1,3
2025,1,39152,70404,54778,24,65,No,31252,0.5705210120747285,Low,10.911062187812917,1,Jan,1,High,1,0,0,Low,49300.2,0.3636363636363636,43.27272727272727,1,7,9,5,6,3,2,11,2,2
2025,4,80814,125124,102969,9,53,Yes,44310,0.4303236896499886,Medium,11.542192962650796,2,Apr,0,Medium,2,1,1,Medium,113265.9,0.1666666666666666,49.46666666666666,2,9,7,10,7,1,2,7,1,0
2025,8,61321,89201,75261,10,57,No,27880,0.3704441875557003,Medium,11.22873063833592,3,Aug,0,Medium,2,0,0,Low,67734.90000000001,0.1724137931034483,43.8551724137931,3,0,5,7,5,0,1,4,1,3
2025,1,51820,103400,77610,42,53,No,51580,0.6646050766568148,Medium,11.259464448702682,1,Jan,0,High,1,0,0,Low,69849.0,0.7777777777777778,35.24444444444444,1,4,8,11,3,3,1,9,1,2
2025,3,63308,86756,75032,37,95,Yes,23448,0.3125066638192704,Medium,11.225683295746832,1,Mar,1,High,2,1,0,Low,67528.8,0.3854166666666667,74.22916666666667,2,13,3,6,3,0,0,14,2,0
2025,5,56600,78970,67785,30,63,Yes,22370,0.3300140148951831,Low,11.124110962931042,2,May,1,High,1,1,0,Low,61006.5,0.46875,49.8625,2,2,1,4,2,3,0,1,2,0
2025,9,35135,64377,49756,7,63,Yes,29242,0.5877080151019434,Low,10.814906436206517,3,Sep,1,Medium,1,1,0,Low,44780.4,0.109375,50.58125,4,7,9,13,3,0,0,11,2,1
2025,3,47458,70686,59072,55,90,No,23228,0.3932150595816425,Low,10.98652924621328,1,Mar,1,High,1,0,1,Low,53164.8,0.6043956043956044,57.79120879120879,2,9,7,0,4,0,1,7,2,0
2025,1,35808,80876,58342,36,78,No,45068,0.7724795173156135,Low,10.97409466479416,1,Jan,1,High,1,0,0,Low,52507.8,0.4556962025316455,50.88860759493671,1,6,6,13,3,1,2,6,2,2
2025,1,60136,86478,73307,14,56,Yes,26342,0.3593381259585123,Medium,11.202425022437769,1,Jan,0,Medium,1,1,1,Medium,80637.70000000001,0.2456140350877192,46.10877192982456,1,1,0,3,0,4,1,12,1,2
2025,9,73676,105180,89428,12,80,Yes,31504,0.3522834011679532,Medium,11.401200293347706,3,Sep,1,Medium,2,1,1,High,111785.0,0.1481481481481481,65.70370370370371,4,0,5,12,1,1,2,4,2,1
2025,10,62888,121180,92034,21,58,Yes,58292,0.6333746224152664,Medium,11.42992421846682,4,Oct,0,High,1,1,0,Low,82830.6,0.3559322033898305,47.088135593220336,4,4,8,5,6,4,1,9,1,1
2025,7,66462,91246,78854,32,71,Yes,24784,0.3143023816126727,Medium,11.275366001921656,3,Jul,1,High,1,1,0,Low,70968.6,0.4444444444444444,54.71111111111112,3,4,8,11,3,0,2,9,2,3
2025,4,63781,123407,93594,58,74,No,59626,0.6370707523918513,Medium,11.446732242235427,2,Apr,1,High,2,0,0,Low,84234.6,0.7733333333333333,52.85333333333333,2,6,6,14,1,2,1,6,2,0
2025,10,80667,117037,98852,33,87,No,36370,0.3679237648164132,Medium,11.501389177151898,4,Oct,1,High,2,0,0,Low,88966.8,0.375,61.45,4,6,6,9,1,0,0,6,2,1
2025,6,55834,122698,89266,21,45,No,66864,0.7490421885068331,Medium,11.399387157694076,2,Jun,0,High,2,0,1,Low,80339.40000000001,0.4565217391304347,36.08695652173913,3,9,7,0,4,0,0,7,1,3
2025,8,35000,66345,49069,40,76,Yes,31345,0.6387943507991034,Low,10.801003129083949,3,Aug,1,High,1,1,0,Low,44162.1,0.5194805194805194,57.56103896103896,3,11,10,11,3,2,1,13,2,3
2025,1,68210,140250,104230,29,66,No,72040,0.6911637724197337,Medium,11.55436486885409,1,Jan,1,High,1,0,0,Low,93807.0,0.4328358208955223,43.73432835820896,1,10,8,14,1,0,2,10,2,2
2025,5,74278,100462,87370,22,47,No,26184,0.2996909694368812,Medium,11.377918698802924,2,May,0,High,2,0,0,Low,78633.0,0.4583333333333333,37.28333333333334,2,0,5,6,3,1,2,4,1,0
2025,12,55971,105543,80757,34,70,No,49572,0.6138415245661202,Medium,11.299212307385105,4,Dec,1,High,2,0,0,Low,72681.3,0.4788732394366197,51.04225352112676,1,8,4,14,1,0,2,2,2,2
2025,9,50978,84174,67576,16,84,Yes,33196,0.4912394933039654,Low,11.121022967451031,3,Sep,1,Medium,1,1,0,Low,60818.4,0.188235294117647,63.02352941176471,4,12,8,5,6,0,2,8,2,1
2025,5,73474,126546,100010,14,55,Yes,53072,0.5306669333013633,Medium,11.513035458920672,2,May,0,Medium,2,1,0,Low,90009.0,0.25,50.5,2,2,1,5,6,0,1,1,1,0
2025,3,63085,130319,96702,30,67,No,67234,0.6952700047496922,Medium,11.47939970474506,1,Mar,1,High,1,0,1,High,120877.5,0.4411764705882353,44.317647058823525,2,8,4,8,6,0,1,2,2,0
2025,12,90028,121404,105716,14,72,Yes,31376,0.2967951871022665,Medium,11.5685209914711,4,Dec,1,Medium,2,1,1,Medium,116287.6,0.1917808219178082,60.816438356164376,1,14,2,1,3,3,0,5,2,2
2025,5,75041,121347,98194,13,65,No,46306,0.4715766747411087,Medium,11.494710576549323,2,May,1,Medium,2,0,1,Medium,108013.4,0.1969696969696969,48.60606060606061,2,6,6,10,7,0,2,6,2,0
2025,6,46063,104867,75465,24,78,Yes,58804,0.7792221559560165,Medium,11.231437502681771,2,Jun,1,High,2,1,0,Low,67918.5,0.3037974683544304,64.19240506329113,3,9,7,5,6,0,2,7,2,3
2025,5,86690,119272,102981,47,88,No,32582,0.3163884600041135,Medium,11.542309494658388,2,May,1,High,1,0,1,High,128726.25,0.5280898876404494,56.7438202247191,2,12,8,12,1,0,0,8,2,0
2025,3,72192,104632,88412,16,46,Yes,32440,0.3669185178441058,Medium,11.389774296637174,1,Mar,0,Medium,2,1,1,Low,79570.8,0.3404255319148936,44.91914893617021,2,7,9,0,4,0,1,11,1,0
2025,9,85511,114405,99958,30,59,No,28894,0.2890614057875402,Medium,11.512515380897248,3,Sep,0,High,2,0,0,Low,89962.2,0.5,44.4,4,12,8,2,3,0,0,8,1,1
2025,1,42251,96373,69312,38,79,Yes,54122,0.7808460295362875,Low,11.146387757772745,1,Jan,1,High,1,1,1,Medium,76243.20000000001,0.475,59.45,1,2,1,3,0,0,1,1,2,2
2025,11,49394,64980,57187,28,78,No,15586,0.2725444594003437,Low,10.954099365149055,4,Nov,1,High,1,0,0,Low,51468.3,0.3544303797468354,51.09113924050633,4,9,7,5,6,0,1,7,2,1
2025,6,35000,64139,45844,49,73,No,29139,0.635612075721237,Low,10.733021420484,2,Jun,1,High,1,0,0,Low,41259.6,0.6621621621621622,47.47567567567568,3,3,11,9,1,1,0,3,2,3
2025,10,67702,86706,77204,31,70,No,19004,0.2461530490616269,Medium,11.254219500754964,4,Oct,1,High,1,0,1,Medium,84924.40000000001,0.4366197183098591,46.12676056338028,4,1,0,1,3,0,1,12,2,1
2025,3,39328,53286,46307,48,79,Yes,13958,0.3014231109702329,Low,10.74307001132562,1,Mar,1,High,1,1,0,Low,41676.3,0.6,59.2,2,3,11,4,2,0,1,3,2,0
2025,6,60512,111952,86232,5,57,No,51440,0.5965302903725238,Medium,11.364808214017287,2,Jun,0,Low,3,0,0,Low,77608.8,0.0862068965517241,49.02758620689655,3,3,11,11,3,0,0,3,1,3
2025,11,60898,94834,77866,37,61,Yes,33936,0.4358256491866049,Medium,11.262757522080854,4,Nov,1,High,1,1,0,Low,70079.40000000001,0.5967741935483871,48.406451612903226,4,5,8,13,3,0,1,0,2,1
2025,5,58827,108033,83430,18,56,Yes,49206,0.5897878460914565,Medium,11.331775221920417,2,May,0,Medium,2,1,0,Low,75087.0,0.3157894736842105,50.968421052631584,2,0,5,4,2,0,2,4,1,0
2025,2,57130,113268,85199,42,94,Yes,56138,0.6589044472275626,Medium,11.352756712817406,1,Feb,1,High,2,1,0,Low,76679.1,0.4421052631578947,73.51578947368422,1,13,3,2,3,0,1,14,2,2
2025,8,57643,84227,70935,23,60,Yes,26584,0.3747656305015188,Medium,11.169533341059845,3,Aug,1,High,1,1,1,Medium,78028.5,0.3770491803278688,48.24590163934426,3,9,7,10,7,0,0,7,1,3
2025,6,53001,88137,70569,51,72,No,35136,0.4978956765648104,Medium,11.164360403994875,2,Jun,1,High,1,0,0,Low,63512.1,0.6986301369863014,46.80273972602739,3,8,4,2,3,3,1,2,2,3
2025,5,43633,68175,55904,29,66,No,24542,0.4390025758364517,Low,10.931409100581469,2,May,1,High,1,0,0,Low,50313.6,0.4328358208955223,43.73432835820896,2,11,10,5,6,0,2,13,2,0
2025,7,66697,92425,79561,29,61,No,25728,0.323374517661626,Medium,11.28429187091238,3,Jul,1,High,2,0,0,Low,71604.90000000001,0.4677419354838709,45.66451612903226,3,7,9,2,3,1,2,11,2,3
